instance_name,family,n_variables,n_edges,density,avg_degree,max_degree,degree_std,weighted_degree_mean,weighted_degree_max,weighted_degree_std,quadratic_coeff_min,quadratic_coeff_max,quadratic_coeff_abs_mean,quadratic_coeff_abs_max,quadratic_coeff_range,coefficient_entropy,coefficient_concentration,connected_components,largest_component_size,community_count,modularity,seed,constant,edge_probability,n_items,n_bins,n_operations,n_machines,conflict_probability,n_conflict_pairs,qubo_json
maxcut_n8_p0.30_seed101,maxcut,8,6,0.21428571428571427,1.5,3.0,1.118033988749895,21.5,44.0,17.881554742247666,6.0,20.0,14.333333333333334,20.0,14.0,0.9563052313231244,0.23255813953488372,4,4,4,0.16873985938345043,101,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json
maxcut_n8_p0.60_seed101,maxcut,8,17,0.6071428571428571,4.25,6.0,1.299038105676658,51.0,86.0,19.974984355438178,2.0,20.0,12.0,20.0,18.0,0.9518517325361874,0.09803921568627451,1,8,2,0.2028066128412149,101,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n8_p0.60_seed101.json
maxcut_n12_p0.30_seed101,maxcut,12,17,0.25757575757575757,2.8333333333333335,5.0,1.1426091000668408,34.0,70.0,15.599145275730121,2.0,20.0,12.0,20.0,18.0,0.9460127497091865,0.09803921568627451,1,12,3,0.46366782006920404,101,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n12_p0.30_seed101.json
maxcut_n12_p0.60_seed101,maxcut,12,39,0.5909090909090909,6.5,10.0,1.8027756377319946,66.66666666666667,100.0,19.362047641943477,2.0,20.0,10.256410256410257,20.0,18.0,0.9465169852901233,0.05,1,12,3,0.22841249999999996,101,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n12_p0.60_seed101.json
maxcut_n16_p0.30_seed101,maxcut,16,33,0.275,4.125,7.0,1.3635890143294642,49.75,88.0,18.067581465154653,2.0,20.0,12.06060606060606,20.0,18.0,0.9622299233106798,0.05025125628140704,1,16,4,0.3786394282972652,101,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n16_p0.30_seed101.json
maxcut_n16_p0.60_seed101,maxcut,16,77,0.6416666666666667,9.625,12.0,1.653594569415369,104.0,144.0,23.355941428253324,2.0,20.0,10.805194805194805,20.0,18.0,0.9568129838315517,0.02403846153846154,1,16,3,0.16035560743343197,101,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n16_p0.60_seed101.json
maxcut_n24_p0.30_seed101,maxcut,24,83,0.3007246376811594,6.916666666666667,10.0,1.6051133570215186,81.83333333333333,128.0,22.802899425779657,2.0,20.0,11.831325301204819,20.0,18.0,0.9696462065585122,0.020366598778004074,1,24,4,0.3068512242773176,101,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n24_p0.30_seed101.json
maxcut_n24_p0.60_seed101,maxcut,24,179,0.6485507246376812,14.916666666666666,18.0,2.119682890329484,159.16666666666666,222.0,37.52295593662927,2.0,20.0,10.670391061452515,20.0,18.0,0.9658948023702656,0.010471204188481676,1,24,3,0.13600230256846033,101,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n24_p0.60_seed101.json
maxcut_n32_p0.30_seed101,maxcut,32,156,0.31451612903225806,9.75,15.0,2.5,116.375,170.0,30.242509403156348,2.0,20.0,11.935897435897436,20.0,18.0,0.9743766327347281,0.010741138560687433,1,32,4,0.23006861176264276,101,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n32_p0.30_seed101.json
maxcut_n32_p0.60_seed101,maxcut,32,314,0.6330645161290323,19.625,24.0,1.7809758560968758,211.0,274.0,24.92990172463582,2.0,20.0,10.751592356687897,20.0,18.0,0.9714448033432789,0.005924170616113744,1,32,4,0.12037683059679699,101,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n32_p0.60_seed101.json
maxcut_n8_p0.30_seed202,maxcut,8,5,0.17857142857142858,1.25,3.0,0.9682458365518543,17.5,46.0,14.9248115565993,4.0,20.0,14.0,20.0,16.0,0.928744193082848,0.2857142857142857,3,6,4,0.3163265306122448,202,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n8_p0.30_seed202.json
maxcut_n8_p0.60_seed202,maxcut,8,18,0.6428571428571429,4.5,7.0,1.7320508075688772,44.5,68.0,19.94367067517913,2.0,20.0,9.88888888888889,20.0,18.0,0.9469198720442934,0.11235955056179775,1,8,2,0.07246559777805836,202,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n8_p0.60_seed202.json
maxcut_n12_p0.30_seed202,maxcut,12,22,0.3333333333333333,3.6666666666666665,6.0,1.4337208778404378,37.666666666666664,60.0,14.828650946356817,2.0,20.0,10.272727272727273,20.0,18.0,0.9244377228716438,0.08849557522123894,1,12,4,0.4077061633643982,202,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n12_p0.30_seed202.json
maxcut_n12_p0.60_seed202,maxcut,12,42,0.6363636363636364,7.0,8.0,0.9128709291752769,65.66666666666667,88.0,14.670454056443592,2.0,20.0,9.380952380952381,20.0,18.0,0.9592044446190047,0.050761421319796954,1,12,3,0.1688654693498931,202,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n12_p0.60_seed202.json
