instance_name,family,n_variables,n_quadratic_terms,qubo_json,p,gamma,beta,topology,topology_n_directed_edges,topology_n_undirected_edges,topology_is_connected,optimization_level,seed_transpiler,pre_transpile_n_qubits,pre_transpile_depth,pre_transpile_gate_count,pre_transpile_2q_count,pre_transpile_ops_json,transpiled_n_qubits,transpiled_depth,transpiled_gate_count,transpiled_2q_count,swap_count,cx_count,transpilation_time_sec,transpiled_ops_json,depth_overhead,twoq_overhead,failure_flag,failure_message,n_edges,density,avg_degree,max_degree,degree_std,weighted_degree_mean,weighted_degree_max,weighted_degree_std,quadratic_coeff_min,quadratic_coeff_max,quadratic_coeff_abs_mean,quadratic_coeff_abs_max,quadratic_coeff_range,coefficient_entropy,coefficient_concentration,connected_components,largest_component_size,community_count,modularity,edge_to_variable_ratio,swap_per_qubo_edge,transpiled_2q_per_qubo_edge,depth_per_qubo_edge,gate_count_overhead
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,1,0.7,0.3,line,14,7,True,1,123,8,14,36,12,"{""barrier"": 2, ""cx"": 12, ""h"": 8, ""rx"": 8, ""rz"": 6}",8,22,86,14,2,12,0.018360499991104,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 2, ""sx"": 24}",1.5714285714285714,1.1666666666666667,False,,6,0.2142857142857142,1.5,3.0,1.118033988749895,21.5,44.0,17.881554742247666,6.0,20.0,14.333333333333334,20.0,14.0,0.9563052313231244,0.2325581395348837,4,4,4,0.1687398593834504,0.75,0.3333333333333333,2.3333333333333335,3.6666666666666665,2.388888888888889
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,1,0.7,0.3,grid_2d,20,10,True,1,123,8,14,36,12,"{""barrier"": 2, ""cx"": 12, ""h"": 8, ""rx"": 8, ""rz"": 6}",8,21,85,13,1,12,0.0020487500587478,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 1, ""sx"": 24}",1.5,1.0833333333333333,False,,6,0.2142857142857142,1.5,3.0,1.118033988749895,21.5,44.0,17.881554742247666,6.0,20.0,14.333333333333334,20.0,14.0,0.9563052313231244,0.2325581395348837,4,4,4,0.1687398593834504,0.75,0.16666666666666666,2.1666666666666665,3.5,2.361111111111111
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,1,0.7,0.3,heavy_hex_like,20,10,True,1,123,8,14,36,12,"{""barrier"": 2, ""cx"": 12, ""h"": 8, ""rx"": 8, ""rz"": 6}",8,21,85,13,1,12,0.0020475829951465,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 1, ""sx"": 24}",1.5,1.0833333333333333,False,,6,0.2142857142857142,1.5,3.0,1.118033988749895,21.5,44.0,17.881554742247666,6.0,20.0,14.333333333333334,20.0,14.0,0.9563052313231244,0.2325581395348837,4,4,4,0.1687398593834504,0.75,0.16666666666666666,2.1666666666666665,3.5,2.361111111111111
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,1,0.7,0.3,fully_connected,56,28,True,1,123,8,14,36,12,"{""barrier"": 2, ""cx"": 12, ""h"": 8, ""rx"": 8, ""rz"": 6}",8,20,84,12,0,12,0.0020361250499263,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""sx"": 24}",1.4285714285714286,1.0,False,,6,0.2142857142857142,1.5,3.0,1.118033988749895,21.5,44.0,17.881554742247666,6.0,20.0,14.333333333333334,20.0,14.0,0.9563052313231244,0.2325581395348837,4,4,4,0.1687398593834504,0.75,0.0,2.0,3.3333333333333335,2.3333333333333335
maxcut_n8_p0.60_seed101,maxcut,8,17,data/instances_rq1_extended/maxcut_n8_p0.60_seed101.json,1,0.7,0.3,line,14,7,True,1,123,8,32,69,34,"{""barrier"": 2, ""cx"": 34, ""h"": 8, ""rx"": 8, ""rz"": 17}",8,48,132,49,15,34,0.0017615830292925,"{""barrier"": 2, ""cx"": 34, ""rz"": 57, ""swap"": 15, ""sx"": 24}",1.5,1.4411764705882353,False,,17,0.6071428571428571,4.25,6.0,1.299038105676658,51.0,86.0,19.974984355438178,2.0,20.0,12.0,20.0,18.0,0.9518517325361874,0.0980392156862745,1,8,2,0.2028066128412149,2.125,0.8823529411764706,2.8823529411764706,2.823529411764706,1.9130434782608696
maxcut_n8_p0.60_seed101,maxcut,8,17,data/instances_rq1_extended/maxcut_n8_p0.60_seed101.json,1,0.7,0.3,grid_2d,20,10,True,1,123,8,32,69,34,"{""barrier"": 2, ""cx"": 34, ""h"": 8, ""rx"": 8, ""rz"": 17}",8,50,123,40,6,34,0.001718874904327,"{""barrier"": 2, ""cx"": 34, ""rz"": 57, ""swap"": 6, ""sx"": 24}",1.5625,1.1764705882352942,False,,17,0.6071428571428571,4.25,6.0,1.299038105676658,51.0,86.0,19.974984355438178,2.0,20.0,12.0,20.0,18.0,0.9518517325361874,0.0980392156862745,1,8,2,0.2028066128412149,2.125,0.35294117647058826,2.3529411764705883,2.9411764705882355,1.7826086956521738
maxcut_n8_p0.60_seed101,maxcut,8,17,data/instances_rq1_extended/maxcut_n8_p0.60_seed101.json,1,0.7,0.3,heavy_hex_like,20,10,True,1,123,8,32,69,34,"{""barrier"": 2, ""cx"": 34, ""h"": 8, ""rx"": 8, ""rz"": 17}",8,43,124,41,7,34,0.001757042016834,"{""barrier"": 2, ""cx"": 34, ""rz"": 57, ""swap"": 7, ""sx"": 24}",1.34375,1.2058823529411764,False,,17,0.6071428571428571,4.25,6.0,1.299038105676658,51.0,86.0,19.974984355438178,2.0,20.0,12.0,20.0,18.0,0.9518517325361874,0.0980392156862745,1,8,2,0.2028066128412149,2.125,0.4117647058823529,2.411764705882353,2.5294117647058822,1.7971014492753623
maxcut_n8_p0.60_seed101,maxcut,8,17,data/instances_rq1_extended/maxcut_n8_p0.60_seed101.json,1,0.7,0.3,fully_connected,56,28,True,1,123,8,32,69,34,"{""barrier"": 2, ""cx"": 34, ""h"": 8, ""rx"": 8, ""rz"": 17}",8,38,117,34,0,34,0.001879291026853,"{""barrier"": 2, ""cx"": 34, ""rz"": 57, ""sx"": 24}",1.1875,1.0,False,,17,0.6071428571428571,4.25,6.0,1.299038105676658,51.0,86.0,19.974984355438178,2.0,20.0,12.0,20.0,18.0,0.9518517325361874,0.0980392156862745,1,8,2,0.2028066128412149,2.125,0.0,2.0,2.235294117647059,1.6956521739130435
maxcut_n12_p0.30_seed101,maxcut,12,17,data/instances_rq1_extended/maxcut_n12_p0.30_seed101.json,1,0.7,0.3,line,22,11,True,1,123,12,26,77,34,"{""barrier"": 2, ""cx"": 34, ""h"": 12, ""rx"": 12, ""rz"": 17}",12,54,166,51,17,34,0.0024751659948378,"{""barrier"": 2, ""cx"": 34, ""rz"": 77, ""swap"": 17, ""sx"": 36}",2.076923076923077,1.5,False,,17,0.2575757575757575,2.8333333333333335,5.0,1.1426091000668408,34.0,70.0,15.59914527573012,2.0,20.0,12.0,20.0,18.0,0.9460127497091864,0.0980392156862745,1,12,3,0.463667820069204,1.4166666666666667,1.0,3.0,3.176470588235294,2.155844155844156
maxcut_n12_p0.30_seed101,maxcut,12,17,data/instances_rq1_extended/maxcut_n12_p0.30_seed101.json,1,0.7,0.3,grid_2d,34,17,True,1,123,12,26,77,34,"{""barrier"": 2, ""cx"": 34, ""h"": 12, ""rx"": 12, ""rz"": 17}",12,37,154,39,5,34,0.0023085830034688,"{""barrier"": 2, ""cx"": 34, ""rz"": 77, ""swap"": 5, ""sx"": 36}",1.4230769230769231,1.1470588235294117,False,,17,0.2575757575757575,2.8333333333333335,5.0,1.1426091000668408,34.0,70.0,15.59914527573012,2.0,20.0,12.0,20.0,18.0,0.9460127497091864,0.0980392156862745,1,12,3,0.463667820069204,1.4166666666666667,0.29411764705882354,2.2941176470588234,2.176470588235294,2.0
maxcut_n12_p0.30_seed101,maxcut,12,17,data/instances_rq1_extended/maxcut_n12_p0.30_seed101.json,1,0.7,0.3,heavy_hex_like,34,17,True,1,123,12,26,77,34,"{""barrier"": 2, ""cx"": 34, ""h"": 12, ""rx"": 12, ""rz"": 17}",12,39,155,40,6,34,0.0019960830686613,"{""barrier"": 2, ""cx"": 34, ""rz"": 77, ""swap"": 6, ""sx"": 36}",1.5,1.1764705882352942,False,,17,0.2575757575757575,2.8333333333333335,5.0,1.1426091000668408,34.0,70.0,15.59914527573012,2.0,20.0,12.0,20.0,18.0,0.9460127497091864,0.0980392156862745,1,12,3,0.463667820069204,1.4166666666666667,0.35294117647058826,2.3529411764705883,2.2941176470588234,2.012987012987013
