instance_name,family,n_variables,n_quadratic_terms,qubo_json,p,gamma,beta,pre_transpile_n_qubits,pre_transpile_depth,pre_transpile_gate_count,pre_transpile_2q_count,pre_transpile_ops_json
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,1,0.7,0.3,8,14,36,12,"{""barrier"": 2, ""cx"": 12, ""h"": 8, ""rx"": 8, ""rz"": 6}"
maxcut_n8_p0.60_seed101,maxcut,8,17,data/instances_rq1_extended/maxcut_n8_p0.60_seed101.json,1,0.7,0.3,8,32,69,34,"{""barrier"": 2, ""cx"": 34, ""h"": 8, ""rx"": 8, ""rz"": 17}"
maxcut_n12_p0.30_seed101,maxcut,12,17,data/instances_rq1_extended/maxcut_n12_p0.30_seed101.json,1,0.7,0.3,12,26,77,34,"{""barrier"": 2, ""cx"": 34, ""h"": 12, ""rx"": 12, ""rz"": 17}"
maxcut_n12_p0.60_seed101,maxcut,12,39,data/instances_rq1_extended/maxcut_n12_p0.60_seed101.json,1,0.7,0.3,12,53,143,78,"{""barrier"": 2, ""cx"": 78, ""h"": 12, ""rx"": 12, ""rz"": 39}"
maxcut_n16_p0.30_seed101,maxcut,16,33,data/instances_rq1_extended/maxcut_n16_p0.30_seed101.json,1,0.7,0.3,16,38,133,66,"{""barrier"": 2, ""cx"": 66, ""h"": 16, ""rx"": 16, ""rz"": 33}"
maxcut_n16_p0.60_seed101,maxcut,16,77,data/instances_rq1_extended/maxcut_n16_p0.60_seed101.json,1,0.7,0.3,16,80,265,154,"{""barrier"": 2, ""cx"": 154, ""h"": 16, ""rx"": 16, ""rz"": 77}"
maxcut_n24_p0.30_seed101,maxcut,24,83,data/instances_rq1_extended/maxcut_n24_p0.30_seed101.json,1,0.7,0.3,24,74,299,166,"{""barrier"": 2, ""cx"": 166, ""h"": 24, ""rx"": 24, ""rz"": 83}"
maxcut_n24_p0.60_seed101,maxcut,24,179,data/instances_rq1_extended/maxcut_n24_p0.60_seed101.json,1,0.7,0.3,24,122,587,358,"{""barrier"": 2, ""cx"": 358, ""h"": 24, ""rx"": 24, ""rz"": 179}"
maxcut_n32_p0.30_seed101,maxcut,32,156,data/instances_rq1_extended/maxcut_n32_p0.30_seed101.json,1,0.7,0.3,32,107,534,312,"{""barrier"": 2, ""cx"": 312, ""h"": 32, ""rx"": 32, ""rz"": 156}"
maxcut_n32_p0.60_seed101,maxcut,32,314,data/instances_rq1_extended/maxcut_n32_p0.60_seed101.json,1,0.7,0.3,32,167,1008,628,"{""barrier"": 2, ""cx"": 628, ""h"": 32, ""rx"": 32, ""rz"": 314}"
maxcut_n8_p0.30_seed202,maxcut,8,5,data/instances_rq1_extended/maxcut_n8_p0.30_seed202.json,1,0.7,0.3,8,14,33,10,"{""barrier"": 2, ""cx"": 10, ""h"": 8, ""rx"": 8, ""rz"": 5}"
maxcut_n8_p0.60_seed202,maxcut,8,18,data/instances_rq1_extended/maxcut_n8_p0.60_seed202.json,1,0.7,0.3,8,32,72,36,"{""barrier"": 2, ""cx"": 36, ""h"": 8, ""rx"": 8, ""rz"": 18}"
maxcut_n12_p0.30_seed202,maxcut,12,22,data/instances_rq1_extended/maxcut_n12_p0.30_seed202.json,1,0.7,0.3,12,26,92,44,"{""barrier"": 2, ""cx"": 44, ""h"": 12, ""rx"": 12, ""rz"": 22}"
maxcut_n12_p0.60_seed202,maxcut,12,42,data/instances_rq1_extended/maxcut_n12_p0.60_seed202.json,1,0.7,0.3,12,56,152,84,"{""barrier"": 2, ""cx"": 84, ""h"": 12, ""rx"": 12, ""rz"": 42}"
maxcut_n16_p0.30_seed202,maxcut,16,34,data/instances_rq1_extended/maxcut_n16_p0.30_seed202.json,1,0.7,0.3,16,41,136,68,"{""barrier"": 2, ""cx"": 68, ""h"": 16, ""rx"": 16, ""rz"": 34}"
maxcut_n16_p0.60_seed202,maxcut,16,75,data/instances_rq1_extended/maxcut_n16_p0.60_seed202.json,1,0.7,0.3,16,68,259,150,"{""barrier"": 2, ""cx"": 150, ""h"": 16, ""rx"": 16, ""rz"": 75}"
maxcut_n24_p0.30_seed202,maxcut,24,73,data/instances_rq1_extended/maxcut_n24_p0.30_seed202.json,1,0.7,0.3,24,59,269,146,"{""barrier"": 2, ""cx"": 146, ""h"": 24, ""rx"": 24, ""rz"": 73}"
