family,topology,n_rows,n_variables_mean,n_edges_mean,density_mean,topology_alignment_mean,mean_topology_distance_mean,pre_depth_mean,transpiled_depth_mean,transpiled_2q_count_mean,swap_count_mean,depth_overhead_mean,twoq_overhead_mean,transpilation_time_mean
assignment,fully_connected,15,18.4,9.2,0.0752338451637189,1.0,1.0,6.0,12.0,18.4,0.0,2.0,1.0,0.003268922205703913
assignment,grid_2d,15,18.4,9.2,0.0752338451637189,0.9166666666666666,1.2333333333333334,6.0,12.0,18.4,0.0,2.0,1.0,0.0028535165901606
assignment,heavy_hex_like,15,18.4,9.2,0.0752338451637189,1.0,1.0,6.0,12.0,18.4,0.0,2.0,1.0,0.0017661029395336534
assignment,line,15,18.4,9.2,0.0752338451637189,1.0,1.0,6.0,12.0,18.4,0.0,2.0,1.0,0.0017131249886005665
maxcut,fully_connected,30,18.4,89.9,0.4592850438870775,1.0,1.0,70.3,76.3,179.8,0.0,1.135023763739987,1.0,0.00358761670455953
maxcut,grid_2d,30,18.4,89.9,0.4592850438870775,0.2176120409510916,2.823398890109309,70.3,145.76666666666668,261.0,81.2,1.8971532227833003,1.3353993148513381,0.0030512249640499097
maxcut,heavy_hex_like,30,18.4,89.9,0.4592850438870775,0.1856763003222098,3.831427465841322,70.3,153.26666666666668,282.3666666666667,102.56666666666666,1.945575148305265,1.4287351180033412,0.0030816457040296996
maxcut,line,30,18.4,89.9,0.4592850438870775,0.12571768840295192,6.601034410233914,70.3,138.63333333333333,368.1333333333333,188.33333333333334,1.8701714657631037,1.8379660349134654,0.00371427499533937
scheduling_toy,fully_connected,15,18.4,40.93333333333333,0.2359987168823073,1.0,1.0,28.2,34.2,81.86666666666666,0.0,1.2995868126827879,1.0,0.0034615389381845263
scheduling_toy,grid_2d,15,18.4,40.93333333333333,0.2359987168823073,0.3580720668220668,2.502280497280497,28.2,58.6,113.0,31.133333333333333,1.8761804019853554,1.2401561285936287,0.0025309418017665205
scheduling_toy,heavy_hex_like,15,18.4,40.93333333333333,0.2359987168823073,0.3614097707847708,3.292312062937063,28.2,70.2,132.33333333333334,50.46666666666667,2.2820629775376937,1.3900789141414143,0.0026246666675433
scheduling_toy,line,15,18.4,40.93333333333333,0.2359987168823073,0.30968337218337216,5.58416860916861,28.2,64.86666666666666,179.06666666666666,97.2,2.093461057537425,1.730252768065268,0.0027231527414793267
