scope,topology,predictor_type,predictor,outcome,spearman_rho,n,abs_spearman_rho
all_topologies,all,graph,n_edges,pre_transpile_depth,0.9370952321977972,240,0.9370952321977972
all_topologies,all,graph,n_edges,pre_transpile_2q_count,0.9999999999999998,240,0.9999999999999998
all_topologies,all,graph,n_edges,transpiled_depth,0.9312346405693015,240,0.9312346405693015
all_topologies,all,graph,n_edges,transpiled_2q_count,0.9913230995534514,240,0.9913230995534514
all_topologies,all,graph,n_edges,swap_count,0.6570223540001248,240,0.6570223540001248
all_topologies,all,graph,n_edges,depth_overhead,0.09957791305885363,240,0.09957791305885363
all_topologies,all,graph,n_edges,twoq_overhead,0.611736507262813,240,0.611736507262813
all_topologies,all,graph,density,pre_transpile_depth,0.7578854804918661,240,0.7578854804918661
all_topologies,all,graph,density,pre_transpile_2q_count,0.5836580317979838,240,0.5836580317979838
all_topologies,all,graph,density,transpiled_depth,0.7187702455538584,240,0.7187702455538584
all_topologies,all,graph,density,transpiled_2q_count,0.583065498407636,240,0.583065498407636
all_topologies,all,graph,density,swap_count,0.4921226814183128,240,0.4921226814183128
all_topologies,all,graph,density,depth_overhead,-0.2801695506694644,240,0.2801695506694644
all_topologies,all,graph,density,twoq_overhead,0.46395224851367756,240,0.46395224851367756
all_topologies,all,graph,avg_degree,pre_transpile_depth,0.9884940659641828,240,0.9884940659641828
all_topologies,all,graph,avg_degree,pre_transpile_2q_count,0.9294735306042229,240,0.9294735306042229
all_topologies,all,graph,avg_degree,transpiled_depth,0.966863626370669,240,0.966863626370669
all_topologies,all,graph,avg_degree,transpiled_2q_count,0.9255587517723783,240,0.9255587517723783
all_topologies,all,graph,avg_degree,swap_count,0.6712015376625566,240,0.6712015376625566
all_topologies,all,graph,avg_degree,depth_overhead,-0.028082661079368885,240,0.028082661079368885
all_topologies,all,graph,avg_degree,twoq_overhead,0.6258135461781743,240,0.6258135461781743
all_topologies,all,graph,max_degree,pre_transpile_depth,0.9950091637274845,240,0.9950091637274845
all_topologies,all,graph,max_degree,pre_transpile_2q_count,0.9350796088517921,240,0.9350796088517921
all_topologies,all,graph,max_degree,transpiled_depth,0.9741923947592702,240,0.9741923947592702
all_topologies,all,graph,max_degree,transpiled_2q_count,0.9328800400601645,240,0.9328800400601645
all_topologies,all,graph,max_degree,swap_count,0.6762911961573994,240,0.6762911961573994
all_topologies,all,graph,max_degree,depth_overhead,-0.019813727266140762,240,0.019813727266140762
all_topologies,all,graph,max_degree,twoq_overhead,0.6327072851656017,240,0.6327072851656017
all_topologies,all,graph,weighted_degree_mean,pre_transpile_depth,0.9762556917060938,240,0.9762556917060938
all_topologies,all,graph,weighted_degree_mean,pre_transpile_2q_count,0.9197083483880342,240,0.9197083483880342
