original_instance_name,family,n_variables,n_quadratic_terms,qubo_json,strategy_name,layout_mode,relabeling_mode,ordering_used,physical_ordering_used,initial_layout,p,gamma,beta,topology,optimization_level,seed_transpiler,random_seed,pre_transpile_depth,pre_transpile_gate_count,pre_transpile_2q_count,transpiled_depth,transpiled_gate_count,transpiled_2q_count,swap_count,cx_count,transpilation_time_sec,depth_overhead,twoq_overhead,failure_flag,failure_message,transpiled_ops_json,natural_fixed_transpiled_depth,natural_fixed_transpiled_gate_count,natural_fixed_transpiled_2q_count,natural_fixed_swap_count,natural_fixed_depth_overhead,natural_fixed_twoq_overhead,delta_depth_vs_natural_fixed,delta_gate_count_vs_natural_fixed,delta_2q_vs_natural_fixed,delta_swap_vs_natural_fixed,pct_depth_change_vs_natural_fixed,pct_gate_count_change_vs_natural_fixed,pct_2q_change_vs_natural_fixed,pct_swap_change_vs_natural_fixed,standard_qiskit_transpiled_depth,standard_qiskit_transpiled_gate_count,standard_qiskit_transpiled_2q_count,standard_qiskit_swap_count,delta_depth_vs_standard_qiskit,delta_gate_count_vs_standard_qiskit,delta_2q_vs_standard_qiskit,delta_swap_vs_standard_qiskit
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,standard_qiskit,standard_qiskit,natural,"[0, 1, 2, 3, 4, 5, 6, 7]",null,null,1,0.7,0.3,line,1,123,123,14,36,12,22,86,14,2,12,0.00993850000668317,1.5714285714285714,1.1666666666666667,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 2, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,-7,-8,-8,-8,-24.137931034482758,-8.51063829787234,-36.36363636363637,-80.0,22,86,14,2,0,0,0,0
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,natural_fixed,fixed_identity_after_relabeling,natural,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1,0.7,0.3,line,1,123,123,14,36,12,29,94,22,10,12,0.0020686660427600145,2.0714285714285716,1.8333333333333333,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 10, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,0,0,0,0,0.0,0.0,0.0,0.0,22,86,14,2,7,8,8,8
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,random_fixed,fixed_identity_after_relabeling,random,"[0, 6, 4, 2, 7, 3, 1, 5]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1,0.7,0.3,line,1,123,123,14,36,12,26,94,22,10,12,0.0016939169727265835,1.8571428571428572,1.8333333333333333,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 10, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,-3,0,0,0,-10.344827586206897,0.0,0.0,0.0,22,86,14,2,4,8,8,8
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,degree_desc_fixed,fixed_identity_after_relabeling,degree_desc,"[3, 7, 1, 6, 0, 5, 2, 4]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1,0.7,0.3,line,1,123,123,14,36,12,27,88,16,4,12,0.0015564169734716415,1.9285714285714286,1.3333333333333333,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 4, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,-2,-6,-6,-6,-6.896551724137931,-6.382978723404255,-27.272727272727273,-60.0,22,86,14,2,5,2,2,2
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,weighted_degree_desc_fixed,fixed_identity_after_relabeling,weighted_degree_desc,"[3, 7, 1, 6, 0, 5, 2, 4]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1,0.7,0.3,line,1,123,123,14,36,12,27,88,16,4,12,0.0015540829626843333,1.9285714285714286,1.3333333333333333,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 4, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,-2,-6,-6,-6,-6.896551724137931,-6.382978723404255,-27.272727272727273,-60.0,22,86,14,2,5,2,2,2
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,degree_desc_centrality_layout,topology_aware_centrality,degree_desc,"[3, 7, 1, 6, 0, 5, 2, 4]","[3, 4, 2, 5, 1, 6, 0, 7]","[3, 4, 2, 5, 1, 6, 0, 7]",1,0.7,0.3,line,1,123,123,14,36,12,27,90,18,6,12,0.0014960840344429016,1.9285714285714286,1.5,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 6, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,-2,-4,-4,-4,-6.896551724137931,-4.25531914893617,-18.181818181818183,-40.0,22,86,14,2,5,4,4,4
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,weighted_degree_desc_centrality_layout,topology_aware_centrality,weighted_degree_desc,"[3, 7, 1, 6, 0, 5, 2, 4]","[3, 4, 2, 5, 1, 6, 0, 7]","[3, 4, 2, 5, 1, 6, 0, 7]",1,0.7,0.3,line,1,123,123,14,36,12,27,90,18,6,12,0.0015515830600634217,1.9285714285714286,1.5,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 6, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,-2,-4,-4,-4,-6.896551724137931,-4.25531914893617,-18.181818181818183,-40.0,22,86,14,2,5,4,4,4
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,bfs_topology_aware,bfs_topology_aware,bfs_graph_order,"[3, 7, 1, 6, 0, 5, 2, 4]","[3, 2, 4, 1, 5, 0, 6, 7]","[3, 2, 4, 1, 5, 0, 6, 7]",1,0.7,0.3,line,1,123,123,14,36,12,27,90,18,6,12,0.001594125060364604,1.9285714285714286,1.5,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 6, ""sx"": 24}",29,94,22,10,2.0714285714285716,1.8333333333333333,-2,-4,-4,-4,-6.896551724137931,-4.25531914893617,-18.181818181818183,-40.0,22,86,14,2,5,4,4,4
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,standard_qiskit,standard_qiskit,natural,"[0, 1, 2, 3, 4, 5, 6, 7]",null,null,1,0.7,0.3,grid_2d,1,123,123,14,36,12,21,85,13,1,12,0.001848582993261516,1.5,1.0833333333333333,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 1, ""sx"": 24}",27,89,17,5,1.9285714285714286,1.4166666666666667,-6,-4,-4,-4,-22.22222222222222,-4.49438202247191,-23.529411764705884,-80.0,21,85,13,1,0,0,0,0
maxcut_n8_p0.30_seed101,maxcut,8,6,data/instances_rq1_extended/maxcut_n8_p0.30_seed101.json,natural_fixed,fixed_identity_after_relabeling,natural,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1,0.7,0.3,grid_2d,1,123,123,14,36,12,27,89,17,5,12,0.0015035420656204224,1.9285714285714286,1.4166666666666667,False,,"{""barrier"": 2, ""cx"": 12, ""rz"": 46, ""swap"": 5, ""sx"": 24}",27,89,17,5,1.9285714285714286,1.4166666666666667,0,0,0,0,0.0,0.0,0.0,0.0,21,85,13,1,6,4,4,4
