index,family,strategy_name,n_rows,mean_depth,mean_2q,mean_swap,mean_depth_overhead,mean_twoq_overhead,mean_delta_depth_vs_natural_fixed,mean_delta_2q_vs_natural_fixed,mean_delta_swap_vs_natural_fixed,mean_pct_depth_vs_natural_fixed,mean_pct_2q_vs_natural_fixed,mean_pct_swap_vs_natural_fixed,mean_delta_depth_vs_standard_qiskit,mean_delta_2q_vs_standard_qiskit,mean_delta_swap_vs_standard_qiskit,mean_transpilation_time_sec
0,assignment,bfs_topology_aware,45,33.6,58.53333333333333,40.13333333333333,5.6,2.7041666666666666,21.0,39.46666666666667,39.46666666666667,172.48366013071896,164.98611111111111,168.75,21.6,40.13333333333333,40.13333333333333,0.002201151899579449
1,assignment,degree_desc_centrality_layout,45,34.266666666666666,63.53333333333333,45.13333333333333,5.711111111111111,3.0034722222222223,21.666666666666668,44.46666666666667,44.46666666666667,177.71241830065358,194.52777777777777,193.75,22.266666666666666,45.13333333333333,45.13333333333333,0.001892666604059382
2,assignment,degree_desc_fixed,45,12.6,19.066666666666666,0.6666666666666666,2.1,1.038888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6666666666666666,0.6666666666666666,0.0017793509591784266
3,assignment,natural_fixed,45,12.6,19.066666666666666,0.6666666666666666,2.1,1.038888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6666666666666666,0.6666666666666666,0.0017295861383899466
4,assignment,random_fixed,45,27.133333333333333,51.266666666666666,32.86666666666667,4.522222222222222,2.5083333333333333,14.533333333333333,32.2,32.2,119.27287581699348,145.94444444444446,100.0,15.133333333333333,32.86666666666667,32.86666666666667,0.0018945027297983111
5,assignment,standard_qiskit,45,12.0,18.4,0.0,2.0,1.0,-0.6,-0.6666666666666666,-0.6666666666666666,-3.6274509803921564,-3.0,-100.0,0.0,0.0,0.0,0.002140456551892842
6,assignment,weighted_degree_desc_centrality_layout,45,34.266666666666666,63.53333333333333,45.13333333333333,5.711111111111111,3.0034722222222223,21.666666666666668,44.46666666666667,44.46666666666667,177.71241830065358,194.52777777777777,193.75,22.266666666666666,45.13333333333333,45.13333333333333,0.001910995389334811
7,assignment,weighted_degree_desc_fixed,45,12.6,19.066666666666666,0.6666666666666666,2.1,1.038888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6666666666666666,0.6666666666666666,0.0017276935305238956
8,maxcut,bfs_topology_aware,90,179.73333333333332,370.43333333333334,190.63333333333333,2.2877708876015026,1.8408874584612893,23.244444444444444,51.355555555555554,51.355555555555554,8.832768245803958,7.43884023442772,16.678772831529315,33.84444444444444,66.6,66.6,0.0024711995217431243
9,maxcut,degree_desc_centrality_layout,90,177.9,369.96666666666664,190.16666666666666,2.2519303316212005,1.822596058384401,21.41111111111111,50.888888888888886,50.888888888888886,6.927394604439632,6.291364151389856,12.853416338517134,32.01111111111111,66.13333333333334,66.13333333333334,0.00249398940553263
