index,topology,strategy_name,n_rows,mean_depth,mean_2q,mean_swap,mean_depth_overhead,mean_twoq_overhead,mean_delta_depth_vs_natural_fixed,mean_delta_2q_vs_natural_fixed,mean_delta_swap_vs_natural_fixed,mean_pct_depth_vs_natural_fixed,mean_pct_2q_vs_natural_fixed,mean_pct_swap_vs_natural_fixed,mean_delta_depth_vs_standard_qiskit,mean_delta_2q_vs_standard_qiskit,mean_delta_swap_vs_standard_qiskit,mean_transpilation_time_sec
0,grid_2d,bfs_topology_aware,60,103.53333333333333,182.26666666666668,67.3,2.6106257951188203,1.5282373127043793,7.633333333333334,8.383333333333333,8.383333333333333,23.676878728881864,16.165616905068024,32.20311355716829,13.0,18.916666666666668,18.916666666666668,0.0025857729953713215
1,grid_2d,degree_desc_centrality_layout,60,106.03333333333333,183.1,68.13333333333334,2.603459180996438,1.5246878770544066,10.133333333333333,9.216666666666667,9.216666666666667,22.68044682751681,15.681339864015722,28.73758947924261,15.5,19.75,19.75,0.002396431260664582
2,grid_2d,degree_desc_fixed,60,102.05,178.88333333333333,63.916666666666664,2.1470604764696883,1.361560659507805,6.15,5.0,5.0,2.4481480498174095,1.040501823457479,3.4012937292112544,11.516666666666667,15.533333333333333,15.533333333333333,0.002115870109992055
3,grid_2d,natural_fixed,60,95.9,173.88333333333333,58.916666666666664,2.1095918082348653,1.3452824711529783,0.0,0.0,0.0,0.0,0.0,0.0,5.366666666666666,10.533333333333333,10.533333333333333,0.0021228167538841053
4,grid_2d,random_fixed,60,106.83333333333333,184.16666666666666,69.2,2.596613896499284,1.5500662282889799,10.933333333333334,10.283333333333333,10.283333333333333,23.0152838570909,18.21547461483159,31.18153827954421,16.3,20.816666666666666,20.816666666666666,0.002153016593850477
5,grid_2d,standard_qiskit,60,90.53333333333333,163.35,48.38333333333333,1.9176217118879892,1.227738689574076,-5.366666666666666,-10.533333333333333,-10.533333333333333,-7.954805850158333,-8.618587022280582,-41.447985804789234,0.0,0.0,0.0,0.0028177292357819284
6,grid_2d,weighted_degree_desc_centrality_layout,60,106.5,183.88333333333333,68.91666666666667,2.605533572064519,1.5337218862528608,10.6,10.0,10.0,22.705242991126248,16.344927923760604,32.05357849304859,15.966666666666667,20.533333333333335,20.533333333333335,0.002159083324174032
7,grid_2d,weighted_degree_desc_fixed,60,99.23333333333333,178.01666666666668,63.05,2.1386244644443377,1.351152110958466,3.3333333333333335,4.133333333333334,4.133333333333334,2.129468794958181,0.24679684472420055,-0.8750378775541973,8.7,14.666666666666666,14.666666666666666,0.002119445800781198
8,heavy_hex_like,bfs_topology_aware,60,125.41666666666667,221.6,106.63333333333334,3.250752233148348,1.8166710852683956,20.483333333333334,34.733333333333334,34.733333333333334,49.15756514361427,35.6324242482722,26.788485457446924,28.233333333333334,42.733333333333334,42.733333333333334,0.0021721146185881865
9,heavy_hex_like,degree_desc_centrality_layout,60,119.81666666666666,219.43333333333334,104.46666666666667,3.143999335676487,1.820784197333154,14.883333333333333,32.56666666666667,32.56666666666667,44.744984455109815,36.174406886545405,30.6849727216062,22.633333333333333,40.56666666666667,40.56666666666667,0.0021705659436216684
