original_instance_name,original_family,original_n_variables,original_n_edges,original_qubo_json,subqubo_name,subqubo_json,subqubo_n_variables,subqubo_n_edges,extraction_strategy,k_variables,variable_preservation_ratio,edge_preservation_ratio,weighted_edge_preservation_ratio,original_reference_method,original_reference_energy,original_reference_hamming_weight,original_reference_n_restarts,original_reference_max_passes,original_reference_energy_evaluations,subqubo_solver_method,subqubo_exact_energy,subqubo_exact_hamming_weight,subqubo_n_evaluated,lift_fill_value,lifted_original_energy,lifted_hamming_weight,energy_gap_vs_reference,normalized_energy_gap_vs_reference,subqubo_best_bitstring,lifted_bitstring
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_top_weight_edges_k8,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_top_weight_edges_k8.json,8,4,top_weight_edges,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,greedy_local_search,49.0,12,200,100,9800,brute_force,94.0,4,256,0,94.0,4,45.0,0.9183673469200334,"[1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_high_degree_nodes_k8,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_high_degree_nodes_k8.json,8,4,high_degree_nodes,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,greedy_local_search,49.0,12,200,100,9800,brute_force,94.0,4,256,0,94.0,4,45.0,0.9183673469200334,"[1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_weighted_degree_nodes_k8,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_weighted_degree_nodes_k8.json,8,4,weighted_degree_nodes,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,greedy_local_search,49.0,12,200,100,9800,brute_force,94.0,4,256,0,94.0,4,45.0,0.9183673469200334,"[1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_random_nodes_k8,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_random_nodes_k8.json,8,2,random_nodes,8,0.3333333333333333,0.1666666666666666,0.1666666666666666,greedy_local_search,49.0,12,200,100,9800,brute_force,94.0,5,256,0,94.0,5,45.0,0.9183673469200334,"[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_top_weight_edges_k12,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_top_weight_edges_k12.json,12,6,top_weight_edges,12,0.5,0.5,0.5,greedy_local_search,49.0,12,200,100,9800,brute_force,81.0,6,4096,0,81.0,6,32.0,0.6530612244764682,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_high_degree_nodes_k12,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_high_degree_nodes_k12.json,12,6,high_degree_nodes,12,0.5,0.5,0.5,greedy_local_search,49.0,12,200,100,9800,brute_force,81.0,6,4096,0,81.0,6,32.0,0.6530612244764682,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_weighted_degree_nodes_k12,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_weighted_degree_nodes_k12.json,12,6,weighted_degree_nodes,12,0.5,0.5,0.5,greedy_local_search,49.0,12,200,100,9800,brute_force,81.0,6,4096,0,81.0,6,32.0,0.6530612244764682,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_random_nodes_k12,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_random_nodes_k12.json,12,2,random_nodes,12,0.5,0.1666666666666666,0.1666666666666666,greedy_local_search,49.0,12,200,100,9800,brute_force,60.0,10,4096,0,60.0,10,11.0,0.22448979591378593,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_top_weight_edges_k16,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_top_weight_edges_k16.json,16,8,top_weight_edges,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,greedy_local_search,49.0,12,200,100,9800,brute_force,71.0,8,65536,0,71.0,8,22.0,0.44897959182757186,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_high_degree_nodes_k16,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_high_degree_nodes_k16.json,16,8,high_degree_nodes,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,greedy_local_search,49.0,12,200,100,9800,brute_force,71.0,8,65536,0,71.0,8,22.0,0.44897959182757186,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_weighted_degree_nodes_k16,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_weighted_degree_nodes_k16.json,16,8,weighted_degree_nodes,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,greedy_local_search,49.0,12,200,100,9800,brute_force,71.0,8,65536,0,71.0,8,22.0,0.44897959182757186,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,assignment_items12_bins2_seed101_sub_random_nodes_k16,data/subqubos_rq3_full/assignment_items12_bins2_seed101_sub_random_nodes_k16.json,16,4,random_nodes,16,0.6666666666666666,0.3333333333333333,0.3333333333333333,greedy_local_search,49.0,12,200,100,9800,brute_force,58.0,12,65536,0,58.0,12,9.0,0.18367346938400667,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
