extraction_strategy,k_variables,n_rows,n_pareto,profile,within_strategy_k_pareto_rate,share_of_all_pareto_points
high_degree_nodes,8,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
high_degree_nodes,12,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
high_degree_nodes,16,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
random_nodes,8,3,2,pareto_circuit_profile,0.6666666666666666,0.14285714285714285
random_nodes,12,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
random_nodes,16,3,0,pareto_circuit_profile,0.0,0.0
top_weight_edges,8,3,2,pareto_circuit_profile,0.6666666666666666,0.14285714285714285
top_weight_edges,12,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
top_weight_edges,16,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
weighted_degree_nodes,8,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
weighted_degree_nodes,12,3,1,pareto_circuit_profile,0.3333333333333333,0.07142857142857142
weighted_degree_nodes,16,3,2,pareto_circuit_profile,0.6666666666666666,0.14285714285714285
high_degree_nodes,8,3,1,pareto_full_profile,0.3333333333333333,0.05263157894736842
high_degree_nodes,12,3,1,pareto_full_profile,0.3333333333333333,0.05263157894736842
high_degree_nodes,16,3,1,pareto_full_profile,0.3333333333333333,0.05263157894736842
random_nodes,8,3,2,pareto_full_profile,0.6666666666666666,0.10526315789473684
random_nodes,12,3,1,pareto_full_profile,0.3333333333333333,0.05263157894736842
random_nodes,16,3,2,pareto_full_profile,0.6666666666666666,0.10526315789473684
top_weight_edges,8,3,2,pareto_full_profile,0.6666666666666666,0.10526315789473684
top_weight_edges,12,3,1,pareto_full_profile,0.3333333333333333,0.05263157894736842
top_weight_edges,16,3,2,pareto_full_profile,0.6666666666666666,0.10526315789473684
weighted_degree_nodes,8,3,2,pareto_full_profile,0.6666666666666666,0.10526315789473684
weighted_degree_nodes,12,3,2,pareto_full_profile,0.6666666666666666,0.10526315789473684
weighted_degree_nodes,16,3,2,pareto_full_profile,0.6666666666666666,0.10526315789473684
