original_family,k_variables,extraction_strategy,n_subqubos,mean_weighted_edge_preservation,mean_edge_preservation,mean_pct_depth_reduction_vs_original,mean_pct_twoq_reduction_vs_original,mean_pct_swap_reduction_vs_original,mean_sub_transpiled_depth,mean_sub_transpiled_2q,mean_sub_swap_count,mean_original_transpiled_depth,mean_original_transpiled_2q,mean_original_swap_count,mean_energy_gap_vs_reference,median_energy_gap_vs_reference,mean_normalized_energy_gap_vs_reference,median_normalized_energy_gap_vs_reference,mean_lifted_hamming_weight,mean_original_reference_hamming_weight,weighted_preservation_per_depth,weighted_preservation_per_2q,weighted_preservation_per_swap_plus_one,quality_gap_per_weighted_preservation,pareto_circuit_profile,pareto_full_profile
assignment,8,high_degree_nodes,6,0.2916666666666667,0.2916666666666667,0.0,70.83333333333333,,12.0,8.0,0.0,12.0,28.0,0.0,52.333333333333336,51.5,0.8592429518703596,0.8822605965288037,4.0,13.833333333333334,0.0243055555555555,0.0364583333333333,0.2916666666666667,2.945975824883601,False,False
assignment,8,random_nodes,6,0.1770833333333333,0.1770833333333333,0.0,82.29166666666667,,12.0,5.0,0.0,12.0,28.0,0.0,49.833333333333336,49.0,0.8127192495553981,0.8341836734550825,5.0,13.833333333333334,0.0147569444444444,0.0354166666666666,0.1770833333333333,4.589473383336988,False,False
assignment,8,top_weight_edges,6,0.2916666666666667,0.2916666666666667,0.0,70.83333333333333,,12.0,8.0,0.0,12.0,28.0,0.0,52.333333333333336,51.5,0.8592429518703596,0.8822605965288037,4.0,13.833333333333334,0.0243055555555555,0.0364583333333333,0.2916666666666667,2.945975824883601,False,False
assignment,8,weighted_degree_nodes,6,0.2916666666666667,0.2916666666666667,0.0,70.83333333333333,,12.0,8.0,0.0,12.0,28.0,0.0,52.333333333333336,51.5,0.8592429518703596,0.8822605965288037,4.0,13.833333333333334,0.0243055555555555,0.0364583333333333,0.2916666666666667,2.945975824883601,False,False
assignment,12,high_degree_nodes,6,0.4375,0.4375,0.0,56.25,,12.0,12.0,0.0,12.0,28.0,0.0,40.0,39.5,0.6499063492129333,0.653453689155024,6.0,13.833333333333334,0.0364583333333333,0.0364583333333333,0.4375,1.4855002233769898,False,False
assignment,12,random_nodes,6,0.1145833333333333,0.1145833333333333,0.0,88.54166666666667,,12.0,3.0,0.0,12.0,28.0,0.0,29.166666666666668,28.5,0.4581665906313926,0.4589054157067999,9.833333333333334,13.833333333333334,0.0095486111111111,0.0381944444444444,0.1145833333333333,3.9985447560684912,False,False
assignment,12,top_weight_edges,6,0.4375,0.4375,0.0,56.25,,12.0,12.0,0.0,12.0,28.0,0.0,40.0,39.5,0.6499063492129333,0.653453689155024,6.0,13.833333333333334,0.0364583333333333,0.0364583333333333,0.4375,1.4855002233769898,False,False
assignment,12,weighted_degree_nodes,6,0.4375,0.4375,0.0,56.25,,12.0,12.0,0.0,12.0,28.0,0.0,40.0,39.5,0.6499063492129333,0.653453689155024,6.0,13.833333333333334,0.0364583333333333,0.0364583333333333,0.4375,1.4855002233769898,False,False
assignment,16,high_degree_nodes,6,0.5833333333333334,0.5833333333333334,0.0,41.666666666666664,,12.0,16.0,0.0,12.0,28.0,0.0,30.666666666666668,31.5,0.4905352233975821,0.4897568287744982,8.0,13.833333333333334,0.0486111111111111,0.0364583333333333,0.5833333333333334,0.8409175243828536,False,False
assignment,16,random_nodes,6,0.3541666666666667,0.3541666666666667,0.0,64.58333333333333,,12.0,10.0,0.0,12.0,28.0,0.0,20.833333333333332,21.5,0.3167639063086886,0.3281712900565985,10.333333333333334,13.833333333333334,0.0295138888888888,0.0354166666666666,0.3541666666666667,0.8943922035227193,False,False
